index,rate
2025,3.966666666666667
2206,18.966666666666665
2261,11.5
3309,0.06666666666666667
3502,14.566666666666666
3758,0.4
3777,51.63333333333333
4201,29.566666666666666
4305,0.16666666666666666
4346,42.63333333333333
4519,14.466666666666667
4599,28.433333333333334
4885,2.9
5581,4
5768,17.7
6108,14.866666666666667
6594,3.9
6770,10.4
7186,15.9
7191,33.03333333333333
7837,23.533333333333335
7865,12.733333333333333
7875,12.533333333333333
7964,20.2
7973,12.733333333333333
7974,5.166666666666667
8055,50.63333333333333
8067,0.06666666666666667
8217,0.26666666666666666
8311,5.566666666666666
8346,22.666666666666668
8970,6.6
8990,3.4
9120,33.03333333333333
9397,18.9
9621,14.8
9837,9.033333333333333
10145,0.8333333333333334
10175,21.166666666666668
10186,7.766666666666667
10670,0.8
10839,17.366666666666667
11126,27.7
11130,6.2
11916,100
12180,1.2
12299,35.666666666666664
12380,47.53333333333333
12762,7.5
12971,3.1333333333333333
13171,10.433333333333334
13394,47.46666666666667
13588,1
13761,1.7
13843,22.133333333333333
13996,1.9333333333333333
14013,55.333333333333336
14146,0.7666666666666667
14231,100.66666666666667
14312,45.36666666666667
14546,3.9
14911,24.5
14956,60.93333333333333
15132,6.033333333333333
15284,13.733333333333333
16129,21.833333333333332
16961,10.733333333333333
17005,23.166666666666668
17136,2.1666666666666665
17632,17.533333333333335
17673,10.333333333333334
18204,18.766666666666666
19011,0.16666666666666666
19122,0.26666666666666666
20074,7.9
20376,18.1
20501,61.8
20947,2.7333333333333334
21319,95.5
21349,7.4
21686,4.133333333333334
22128,15.966666666666667
22873,2.533333333333333
22919,0.8
23054,3.6666666666666665
23207,63
23357,4.766666666666667
23667,2.2
24364,57.266666666666666
24660,58.166666666666664
25870,37
26492,15.1
27216,33.1
27235,0.7333333333333333
27245,25.366666666666667
27246,33.8
27293,98.46666666666667
27680,97.86666666666666
28959,0.06666666666666667
29348,1.9
29421,6.633333333333334
29454,5.9
29468,0.2
29700,28.933333333333334
29845,29.933333333333334
29863,42.166666666666664
30021,32.63333333333333
30191,0.06666666666666667
31392,98
32398,0.06666666666666667
32464,87.5
33562,37.3
33932,32.63333333333333
34429,15.3
34543,5.366666666666666
34800,0.23333333333333334
34962,0.8
34978,3.6666666666666665
35413,3.933333333333333
35583,50.36666666666667
35807,17.833333333333332
36026,12.5
36033,0.03333333333333333
37039,1.8333333333333333
37102,22
37505,18.066666666666666
38695,28.633333333333333
38796,59.7
39236,91.33333333333333
39472,20.6
39503,36.1
39661,2.4
40181,15.666666666666666
40663,13.033333333333333
40749,0.8
40773,71
40812,4
40846,0.4666666666666667
40870,0.3
41082,42.166666666666664
41291,10.766666666666667
41803,6.066666666666666
41810,1.9333333333333333
43027,33.833333333333336
43291,7.666666666666667
43681,19.366666666666667
43796,6.066666666666666
44186,4
44190,70.8
44337,100.46666666666667
45273,3.3333333333333335
46467,26.1
47228,34.63333333333333
47329,11.033333333333333
47516,3.9
47685,100.5
